p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
26,19,19,20,21,21,22,21,20,22
20,10,19,21,21,25,20,22,13,19
31,27,25,26,26,27,10,27,13,27
25,25,21,16,27,25,19,26,19,15
20,19,19,16,-1,20,19,21,19,19
14,9,10,2,13,9,15,9,9,13
20,13,13,19,19,20,15,19,9,10
26,27,25,25,26,26,26,25,28,25
20,19,16,7,19,4,25,21,16,31
14,13,16,10,13,10,14,15,13,13
13,10,13,15,13,13,13,9,16,13
20,15,15,20,15,21,22,10,10,20
14,10,15,15,19,15,3,15,13,19
20,20,10,19,25,20,19,19,16,20
13,13,13,13,14,14,14,9,16,15
21,19,19,16,8,22,19,19,21,21
25,27,26,26,21,13,16,21,25,22
16,16,16,9,16,10,13,21,16,15
21,20,21,21,4,19,21,19,10,20
26,27,25,25,25,25,25,26,21,15
14,15,19,8,19,15,13,13,14,16
15,16,19,14,21,19,19,15,13,20
19,21,25,10,25,25,19,22,21,19
10,14,25,9,20,20,19,22,21,20
22,20,22,21,21,22,25,16,22,19
14,13,10,9,13,7,15,14,10,14
16,16,15,13,9,13,13,15,13,13
20,16,25,20,21,21,25,22,19,21
14,14,16,15,19,-1,4,14,19,13
19,25,22,27,25,26,15,25,20,22
13,10,10,14,9,14,13,8,14,15
19,19,10,15,15,20,19,13,19,13
19,16,15,14,14,15,14,10,7,13
19,20,15,10,21,20,16,21,16,13
13,4,15,13,13,14,15,9,13,8
26,25,25,26,31,26,27,26,26,16
15,8,14,15,20,15,9,20,19,19
9,10,9,7,13,4,13,9,10,10
13,16,14,9,13,16,15,13,4,14
21,10,20,20,21,22,13,10,13,25
19,19,19,16,15,19,25,20,14,19
14,15,4,16,10,15,19,19,2,4
13,8,7,7,2,7,14,13,10,4
19,9,14,19,16,-1,-1,7,15,19
16,14,21,9,16,14,15,15,19,15
20,14,20,22,19,20,19,22,20,16
25,26,31,25,31,16,31,31,27,26
16,14,15,13,9,16,19,19,9,19
20,21,19,19,20,19,20,16,20,19
10,10,13,13,10,9,7,9,9,10
9,16,21,15,14,15,19,19,14,10
20,14,19,13,19,15,19,15,15,19
3,19,10,20,15,19,4,16,19,14
20,25,25,25,25,26,19,20,22,21
20,19,20,19,20,20,20,21,20,9
28,27,27,27,28,27,19,16,20,26
33,33,22,31,31,34,34,34,33,31
16,19,13,14,15,10,13,19,14,16
15,15,13,14,13,9,10,14,9,20
16,19,13,16,4,19,16,8,15,14
22,20,21,25,21,21,19,20,25,13
8,4,7,7,7,8,7,10,10,4
25,19,27,25,25,26,31,26,31,25
20,20,14,19,19,19,19,16,13,15
14,21,10,20,13,20,9,15,19,9
13,14,15,8,14,14,15,13,13,15
20,16,21,19,20,22,19,20,16,16
22,19,25,21,21,21,25,14,22,21
9,13,10,9,8,13,9,13,10,9
14,14,10,9,13,19,13,13,14,10
21,19,25,21,19,9,22,21,9,25
16,13,19,14,16,14,19,19,27,20
27,28,22,31,9,31,31,22,27,31
19,19,-1,15,21,15,25,20,19,20
19,14,14,19,16,13,19,13,10,13
14,19,8,13,14,16,14,14,15,14
13,19,19,19,20,21,15,20,20,19
