p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
21,21,20,21,15,25,25,20,21,19
15,13,8,13,14,13,9,9,14,15
3,13,7,9,10,9,1,10,13,8
15,19,20,19,19,-1,16,20,19,19
16,10,10,19,20,20,19,20,19,19
21,16,15,21,20,20,20,21,10,22
20,16,25,3,21,20,20,19,19,10
26,26,16,27,31,13,31,26,28,21
25,25,19,20,22,19,27,20,16,14
21,21,21,21,20,4,20,19,21,16
4,13,14,13,14,13,15,13,16,7
13,9,7,1,7,10,10,9,9,9
31,31,32,20,32,32,33,32,31,31
13,8,15,4,15,15,16,9,7,19
20,16,20,8,22,22,20,25,20,25
16,4,9,7,4,13,15,8,10,10
13,13,8,8,9,3,13,4,13,13
19,20,20,20,22,21,21,13,21,20
19,10,16,14,19,15,14,16,9,13
19,14,16,19,19,16,20,20,19,15
14,14,9,8,14,14,7,14,13,10
14,10,16,14,14,13,10,13,15,10
19,20,10,22,13,20,26,19,20,19
14,14,7,19,16,19,20,15,14,4
7,13,4,7,7,2,13,9,10,8
19,7,13,13,7,10,19,15,15,14
25,15,26,27,25,25,20,25,25,25
25,26,27,25,19,16,21,21,22,25
-1,15,15,16,15,15,16,20,-1,19
13,13,14,-1,10,14,20,15,16,15
16,9,15,-1,13,9,19,19,19,14
19,16,19,16,19,19,19,20,21,19
14,9,14,16,13,14,14,3,4,19
27,31,25,26,26,32,26,25,34,27
14,13,9,8,13,4,8,13,9,9
13,15,7,15,15,14,14,15,15,14
32,31,31,32,33,33,31,21,32,33
15,20,19,19,16,19,19,22,19,19
16,21,10,25,20,20,22,22,25,25
14,14,9,14,14,15,13,19,14,10
9,8,8,10,8,14,14,4,10,7
15,13,14,14,16,16,4,16,13,15
21,10,19,10,10,20,25,19,19,20
19,20,19,15,13,16,20,15,20,20
13,-1,16,14,10,19,13,15,13,14
27,8,25,28,27,25,15,26,26,26
21,9,19,21,21,20,20,15,19,19
22,20,20,10,20,10,20,8,21,20
31,21,25,31,28,4,31,27,16,22
13,15,13,14,13,16,14,15,13,13
14,15,10,15,14,19,13,16,13,7
28,27,31,26,28,27,27,31,31,31
19,20,13,19,21,15,16,19,19,20
19,9,21,20,7,16,16,22,9,19
14,21,19,19,25,22,22,22,25,21
21,21,19,20,13,19,16,19,20,22
34,15,34,46,34,34,27,19,33,33
20,20,13,21,19,25,10,19,22,13
16,19,9,7,-1,20,15,19,14,19
9,20,25,22,16,10,21,20,9,25
13,7,4,4,9,9,13,15,13,4
25,20,22,10,25,19,21,21,25,19
14,13,7,8,15,3,3,14,13,13
13,9,13,13,13,14,2,14,10,9
25,31,27,26,22,25,25,25,25,21
27,25,20,13,19,4,21,22,22,21
19,19,13,14,21,16,9,16,19,15
22,14,22,19,21,26,22,20,25,21
19,14,14,13,13,20,19,15,19,9
16,16,8,13,19,21,19,15,19,15
13,4,13,15,15,15,16,10,14,13
9,15,19,10,14,19,19,19,15,19
26,20,28,26,16,27,32,16,25,27
20,10,8,14,21,15,22,20,21,20
16,20,20,22,21,20,21,20,21,10
28,25,15,26,26,25,31,25,15,27
15,15,13,13,14,14,15,13,7,14
14,15,14,9,16,15,7,13,10,8
13,7,9,10,7,8,7,9,15,9
-1,14,13,14,10,10,13,13,9,10
25,21,25,20,9,25,19,25,20,20
20,21,21,20,20,20,14,19,19,16
25,25,10,25,22,16,20,20,15,15
20,16,19,4,16,20,15,19,16,19
4,13,13,14,10,13,14,14,14,13
27,25,25,31,7,31,31,31,10,19
16,14,15,7,2,15,15,14,15,14
19,13,14,13,14,13,15,13,13,14
14,10,13,14,14,19,13,15,10,16
14,15,13,14,14,13,14,-1,10,19
27,15,26,26,21,26,15,25,25,20
9,9,1,7,9,9,-1,7,8,8
25,32,32,33,14,46,25,34,31,33
19,33,27,28,19,27,31,31,20,32
-1,-1,19,20,14,20,7,21,9,19
25,26,21,25,25,16,15,28,25,26
22,20,21,19,26,22,10,16,21,21
25,33,19,32,33,31,31,-1,32,16
25,25,25,27,25,13,26,28,27,25
20,14,15,15,10,9,20,15,15,21
13,13,13,13,10,14,13,13,13,14
13,13,14,14,14,13,13,13,10,13
15,9,16,10,10,8,15,9,16,16
25,25,25,25,19,7,22,19,22,9
9,15,13,10,15,16,15,16,14,14
19,25,20,21,20,14,10,20,14,19
19,19,14,14,19,14,9,15,16,16
3,10,8,10,8,8,13,9,13,9
14,4,10,13,15,14,19,15,16,13
15,16,14,13,13,13,14,15,14,14
9,19,25,22,16,21,21,20,13,19
25,15,7,25,10,25,25,10,22,21
19,20,20,7,20,16,10,20,20,19
8,8,9,9,8,3,10,8,8,13
14,14,7,15,13,9,9,10,13,4
15,9,-1,16,9,13,15,16,14,7
21,19,15,16,20,19,21,19,19,20
20,21,21,13,20,10,19,20,16,13
7,14,14,7,15,14,13,14,14,14
9,13,13,15,14,14,14,14,14,13
19,15,7,15,13,25,19,13,19,13
19,20,19,19,14,15,10,19,13,9
46,52,52,52,46,46,52,52,52,52
14,15,14,20,15,15,16,19,19,16
19,15,16,15,15,19,19,16,20,15
21,25,19,22,25,25,22,9,21,19
20,19,19,19,21,19,9,19,14,10
9,16,4,19,14,14,16,9,15,10
13,14,16,15,20,15,19,15,19,14
15,13,14,14,14,14,13,13,13,13
25,25,26,25,26,25,22,26,22,15
15,14,19,19,16,19,15,19,20,20
15,19,15,9,19,21,15,21,15,13
27,27,19,31,31,27,26,27,31,26
15,13,8,10,7,9,7,9,13,10
8,14,7,10,7,13,10,9,9,9
9,7,13,8,8,13,9,13,7,7
21,13,21,14,20,16,20,19,20,21
15,14,16,16,14,16,20,15,15,15
31,26,19,31,19,27,25,27,31,26
15,15,14,19,16,14,8,16,13,14
9,13,9,9,8,3,13,14,13,9
13,14,14,14,15,10,15,14,15,9
31,28,28,31,31,31,31,32,31,32
14,19,16,13,14,19,19,14,9,15
19,16,19,19,19,19,10,21,22,21
28,25,26,27,7,27,25,25,27,32
7,13,7,20,13,14,20,15,15,19
9,21,19,13,20,20,19,16,22,21
13,10,13,15,16,13,14,9,14,13
20,19,8,16,21,16,21,19,21,21
16,14,19,9,10,-1,19,13,15,19
16,10,25,19,15,20,10,16,20,20
10,14,9,14,9,13,10,10,9,13
13,15,13,13,13,15,9,7,19,13
14,14,7,14,10,20,13,13,19,13
22,31,27,15,27,27,31,25,20,21
13,20,14,14,9,13,13,8,15,14
-1,19,13,16,13,21,21,16,15,20
14,21,15,13,7,19,19,13,21,14
9,14,14,13,9,13,13,-1,9,10
19,19,19,13,7,19,13,14,15,20
13,10,9,9,9,7,7,9,4,13
20,25,25,7,9,20,21,19,22,10
20,15,19,16,19,15,16,19,15,20
25,25,22,20,13,19,25,19,21,27
4,21,20,10,21,20,20,19,21,21
14,9,4,9,13,15,15,13,19,14
25,19,19,25,19,20,21,15,25,20
26,25,25,2,26,-1,19,27,26,31
20,7,21,21,19,16,19,20,21,20
14,15,13,13,14,19,14,15,10,14
19,15,14,14,-1,15,19,15,21,4
20,19,9,19,19,15,20,19,19,20
25,20,22,21,27,21,25,25,22,25
14,9,14,13,4,13,13,3,9,8
9,9,13,13,14,13,14,4,8,13
16,9,3,20,10,19,19,16,19,19
25,19,21,19,20,19,16,22,9,10
20,15,13,19,19,16,9,19,20,19
14,15,13,19,15,15,10,13,15,14
8,15,19,19,14,19,19,15,15,19
9,13,4,13,14,13,13,10,13,13
13,13,19,15,13,15,15,19,14,14
22,25,25,25,19,19,26,25,28,15
14,9,15,16,19,15,10,14,14,13
15,15,16,20,19,14,7,19,4,15
14,15,3,16,20,20,9,16,19,21
14,10,15,15,14,13,15,13,10,13
20,13,14,15,21,20,10,19,15,20
14,9,15,13,13,9,14,10,14,4
9,16,14,9,20,14,19,15,14,20
19,20,21,22,22,20,20,19,21,20
19,19,20,19,21,19,19,7,19,21
8,1,8,3,8,10,8,9,8,3
22,22,21,25,22,25,22,22,21,25
10,25,19,21,19,25,8,21,15,16
19,15,16,15,16,19,21,14,21,20
9,9,13,10,7,8,13,13,13,15
28,28,26,31,31,31,25,28,27,20
15,4,14,19,10,14,7,14,13,13
16,13,9,15,9,15,9,13,14,13
19,15,19,19,13,19,19,15,16,15
13,14,15,16,10,9,13,14,14,15
19,21,25,22,3,19,19,20,15,20
27,25,26,32,27,25,25,31,21,19
9,15,15,9,15,19,14,14,9,13
19,14,15,13,14,10,7,16,-1,20
31,25,25,31,27,31,27,31,19,21
25,26,25,25,25,26,9,26,22,25
2,10,10,13,13,8,9,10,8,10
19,20,19,19,16,14,10,20,16,20
14,19,15,14,13,15,9,19,13,13
8,13,9,13,3,3,7,7,9,14
19,15,15,13,19,7,20,15,19,14
19,19,2,16,16,20,16,19,15,19
26,26,25,25,26,25,25,25,19,26
19,19,14,16,19,19,4,15,13,13
13,13,13,10,4,13,15,14,7,15
19,20,20,20,20,20,21,20,19,19
9,13,14,13,14,14,9,4,13,16
14,15,9,13,13,10,14,13,15,14
14,13,13,14,13,14,19,14,14,13
15,15,15,15,9,16,15,10,15,3
21,20,20,13,21,19,14,14,21,20
13,13,13,19,14,8,15,15,19,16
16,20,25,25,16,22,25,21,21,26
27,31,31,31,32,31,31,31,28,31
15,16,16,15,15,16,19,9,16,21
22,25,15,26,31,25,22,25,21,25
31,26,16,13,31,32,32,31,31,31
10,22,20,20,20,20,21,10,19,10
19,9,15,20,9,19,9,20,20,15
9,9,10,8,4,8,13,10,8,9
14,9,19,14,10,10,15,14,19,14
10,9,13,14,9,14,7,14,9,4
21,31,25,26,4,22,22,20,9,25
13,7,14,13,19,19,21,19,13,15
19,13,3,7,15,14,15,14,13,14
22,22,25,31,21,16,25,25,25,25
10,15,14,10,15,16,14,14,14,15
21,22,15,25,19,25,20,25,26,22
7,8,13,13,7,13,9,13,10,8
31,31,25,28,27,32,25,27,27,31
25,22,26,20,20,21,22,21,20,21
13,21,25,25,19,22,19,22,10,25
10,19,14,15,15,19,13,14,13,15
7,26,20,16,20,22,19,19,3,21
22,19,25,25,21,20,9,9,20,26
20,22,25,28,27,25,26,16,25,22
15,14,13,15,15,15,13,14,13,19
13,13,13,9,10,9,14,13,19,13
13,1,13,3,1,10,9,4,8,9
20,19,19,19,20,19,9,19,19,16
19,13,20,21,13,19,13,15,19,19
22,13,16,25,21,19,25,25,21,22
13,27,31,16,31,25,26,22,26,25
13,13,13,13,10,13,13,10,9,13
10,14,14,15,14,9,15,16,13,19
14,7,13,13,13,14,15,14,14,15
14,20,19,16,4,10,15,16,15,19
15,10,16,15,15,14,16,8,20,15
-1,8,16,20,13,19,9,16,15,15
22,25,19,25,25,22,25,25,21,25
7,15,22,9,14,15,15,14,15,15
20,16,10,19,15,20,16,20,10,14
26,16,19,26,26,26,16,27,19,31
21,19,19,16,19,15,15,22,21,19
19,20,19,15,20,19,13,20,14,14
15,16,19,16,13,15,9,10,15,16
15,14,20,19,19,21,19,20,21,20
10,14,13,13,15,13,13,13,13,13
13,19,14,19,15,16,21,19,13,20
13,9,9,9,13,8,10,14,10,13
26,19,21,13,25,25,26,27,9,14
19,19,22,15,21,16,13,9,8,19
8,10,8,9,13,9,9,14,9,13
15,21,20,19,19,19,20,20,13,22
14,7,10,13,14,14,4,16,13,14
26,27,31,31,28,16,27,31,26,19
15,22,22,21,16,19,20,16,16,4
4,15,10,15,15,19,10,15,15,8
20,16,13,19,19,19,19,21,14,19
14,25,19,19,10,16,19,14,20,19
14,13,10,13,9,9,4,14,10,13
27,25,22,22,7,25,25,25,20,25
22,19,20,10,13,16,16,19,21,20
33,33,27,31,10,19,28,31,34,32
19,19,-1,21,16,20,20,20,20,21
10,14,8,15,10,14,10,13,14,13
15,19,19,19,16,13,19,15,21,14
25,25,20,20,22,20,7,21,25,25
19,19,7,7,9,10,21,20,19,15
22,21,15,14,19,20,20,19,20,19
19,15,21,21,20,21,25,19,22,26
16,10,22,16,19,9,13,19,15,21
15,13,10,19,14,10,-1,16,13,9
21,28,26,15,27,27,25,25,25,25
19,19,19,15,20,15,19,13,16,19
14,10,15,19,16,13,13,14,13,15
9,8,8,14,14,8,9,13,15,14
20,19,25,20,15,20,19,25,15,25
13,8,9,21,20,19,13,20,13,9
15,20,13,20,15,19,21,15,19,16
20,20,25,19,20,20,19,16,14,13
19,32,32,20,32,31,33,15,31,31
15,15,15,14,15,19,14,-1,19,16
10,8,16,9,19,15,15,16,19,10
21,25,27,25,19,25,19,-1,25,19
13,26,22,28,27,26,16,21,25,9
20,15,19,7,16,19,15,16,15,19
16,9,20,14,19,21,10,16,22,19
10,21,20,21,21,20,22,21,19,19
8,13,14,13,4,4,13,19,13,9
32,31,32,28,7,27,13,32,31,31
14,14,14,14,13,14,13,7,16,10
15,21,21,21,10,21,22,21,25,16
10,3,9,13,9,8,13,9,14,9
15,7,20,10,15,20,20,19,13,19
8,9,8,10,4,9,13,4,14,9
13,20,15,15,15,15,16,20,10,16
19,9,14,13,14,14,20,13,14,14
25,8,15,22,20,21,21,22,19,25
21,22,21,20,20,21,19,20,15,19
25,27,26,16,25,31,19,10,13,25
9,10,9,9,8,13,8,9,13,14
22,22,20,21,22,21,25,26,21,25
25,25,25,25,27,22,25,27,19,15
10,10,14,9,8,13,14,10,16,10
25,25,20,20,26,31,25,26,13,15
21,21,15,21,21,19,20,20,20,10
14,15,14,13,16,14,10,13,14,15
-1,-1,20,19,7,25,21,20,20,19
15,19,25,19,19,16,20,16,21,20
31,32,22,31,16,22,27,32,32,31
10,8,8,8,9,9,8,14,9,13
16,15,15,15,16,13,2,4,8,15
21,16,19,20,21,20,22,19,21,21
16,16,25,13,25,20,19,14,25,21
19,20,20,20,10,19,-1,-1,19,16
26,15,26,8,13,13,21,26,26,26
13,3,8,13,10,13,7,3,10,9
14,25,20,25,26,21,16,26,25,27
19,15,19,15,13,19,20,20,19,19
13,13,13,10,8,10,10,10,13,4
9,7,9,4,13,8,10,9,13,8
13,15,14,14,13,8,10,14,14,15
21,19,20,10,21,19,20,22,20,19
4,15,14,9,14,13,13,13,9,7
31,27,28,31,31,25,33,31,28,31
13,15,13,13,15,13,8,14,9,15
19,20,20,19,20,20,21,20,20,20
13,19,14,14,14,9,15,14,4,13
20,16,16,19,19,13,16,16,19,15
19,20,21,21,16,21,16,19,13,21
19,19,10,19,19,15,15,15,10,9
13,14,20,16,14,15,13,13,14,10
25,22,15,20,27,25,25,25,26,22
21,15,20,15,20,20,20,20,19,10
14,16,19,15,16,4,19,19,19,19
27,20,21,25,26,15,13,25,22,25
25,19,15,20,9,9,15,19,20,13
14,19,14,14,19,16,20,21,15,9
27,26,25,25,26,22,27,25,26,25
15,15,7,15,15,10,15,15,7,13
34,46,34,46,52,27,31,22,46,46
16,4,19,16,14,19,19,19,15,13
25,19,25,16,25,25,25,25,25,22
16,13,14,14,14,9,14,13,14,13
31,20,31,22,25,16,31,31,31,31
14,19,13,16,19,19,19,19,10,16
25,20,16,19,19,22,21,20,20,19
15,13,19,16,20,19,4,19,20,14
14,15,14,14,14,15,13,16,15,7
16,13,15,9,9,14,8,13,16,13
16,3,15,14,15,16,9,14,20,15
13,13,14,14,10,14,14,14,13,14
9,3,15,15,8,13,19,10,4,4
14,4,14,13,19,19,13,9,16,15
14,21,19,15,19,14,13,4,19,20
31,27,26,25,27,15,27,28,19,31
16,15,14,-1,20,19,13,10,13,10
25,27,20,28,26,26,3,25,31,26
25,10,20,15,25,19,19,15,26,19
15,13,13,19,9,9,13,15,16,15
31,16,25,27,33,21,27,31,28,16
9,9,7,10,13,4,13,13,10,14
15,21,19,19,16,20,19,20,26,20
19,20,19,20,20,22,20,16,16,22
19,15,20,16,20,19,20,20,20,16
13,20,16,14,14,14,-1,16,14,10
15,14,14,15,13,-1,10,9,14,15
20,16,20,20,21,19,16,15,19,20
14,15,20,22,13,19,20,4,9,20
31,27,33,33,32,32,34,32,34,33
31,25,15,16,20,25,31,27,26,27
25,26,28,26,26,26,28,31,31,26
20,25,21,20,20,21,19,26,19,19
10,19,15,19,8,16,19,7,20,16
20,7,16,13,16,10,13,15,19,15
14,20,19,13,19,14,19,16,16,19
19,19,19,21,19,21,19,19,20,20
19,19,16,13,25,21,19,19,21,19
21,19,16,21,19,15,20,19,14,19
16,10,14,13,19,14,16,21,16,13
16,15,15,15,16,19,7,15,7,15
21,22,22,27,20,22,20,13,22,21
25,21,13,22,10,25,21,19,16,19
10,13,15,15,7,7,14,14,10,15
19,21,22,20,21,25,22,25,19,21
25,26,25,25,21,26,25,19,25,25
10,9,8,14,9,13,10,15,15,14
16,14,16,3,14,10,19,14,19,14
15,34,7,16,31,21,32,32,31,31
16,25,14,14,13,25,19,25,10,19
19,14,9,20,19,9,19,15,7,10
3,7,7,9,13,8,10,8,9,9
31,34,7,32,32,34,33,32,32,27
14,21,19,14,10,19,15,20,19,16
19,20,20,16,25,25,16,21,21,21
25,25,25,27,22,25,21,25,10,26
19,19,10,16,16,10,20,20,20,9
20,19,15,19,21,19,19,-1,14,20
19,13,-1,13,15,15,13,15,13,20
19,20,10,22,20,15,20,21,16,19
20,19,19,19,20,21,16,16,10,19
10,15,19,19,16,16,10,20,19,15
10,9,14,13,-1,14,14,14,14,14
9,8,13,7,7,13,7,13,13,13
20,20,19,19,15,19,16,20,14,19
15,15,21,13,16,14,20,19,15,25
19,19,19,9,21,13,19,19,19,13
25,19,25,25,25,16,21,22,20,13
32,31,32,33,31,31,31,33,31,31
25,25,21,16,21,21,22,22,20,26
19,21,19,20,21,19,19,16,19,21
14,16,8,15,9,19,7,9,8,14
19,9,13,22,19,21,20,20,19,19
20,15,16,16,19,20,21,20,21,21
15,14,19,10,20,15,14,15,9,15
8,2,10,13,14,7,10,15,7,19
10,14,15,19,19,20,14,15,13,14
19,15,14,14,16,19,14,14,16,10
21,25,7,25,21,8,25,22,22,25
10,9,7,10,15,14,13,14,14,9
19,7,10,14,15,19,10,22,20,-1
13,16,13,14,15,15,15,13,14,13
14,8,10,9,13,14,13,8,14,9
15,14,4,15,13,13,14,14,15,19
13,3,10,9,9,8,8,14,13,9
13,15,15,14,13,13,7,13,3,10
21,15,19,19,22,19,7,19,20,19
13,15,13,13,14,16,14,13,14,13
20,22,16,20,15,15,19,15,20,19
16,13,15,16,19,19,20,13,19,13
7,7,9,9,10,9,7,4,7,8
10,19,14,19,14,15,13,15,16,19
19,16,13,19,19,16,25,21,10,19
8,8,8,3,10,14,10,8,8,13
10,4,13,15,13,14,15,10,13,14
7,8,9,-1,8,13,13,7,1,7
15,15,19,14,19,19,19,10,19,15
19,16,14,15,13,16,15,10,16,14
13,16,2,15,8,15,14,15,13,15
20,19,15,10,20,16,19,19,9,20
22,25,22,25,22,31,27,25,25,25
14,10,13,13,13,15,13,15,19,14
22,20,19,25,20,16,16,19,15,21
14,14,13,15,8,4,15,13,14,14
14,13,10,14,15,10,15,20,16,15
20,19,20,19,10,13,14,15,16,19
9,15,13,19,13,4,14,13,14,13
26,20,19,25,21,20,20,21,20,21
21,27,25,22,13,25,25,20,25,16
19,16,14,20,8,19,21,20,19,19
15,25,26,31,16,7,26,21,25,28
25,26,25,20,28,25,28,26,25,26
14,13,19,13,13,10,9,14,14,7
14,14,14,13,19,15,15,16,15,15
19,19,20,19,-1,19,7,20,21,16
15,14,16,14,14,-1,10,13,15,10
9,21,20,21,15,19,7,21,16,20
26,19,22,26,22,25,19,20,25,25
15,13,14,15,19,16,15,14,7,19
13,13,15,13,14,13,14,13,14,13
9,4,13,13,4,13,9,13,10,10
20,16,22,16,15,22,22,25,25,10
20,19,14,21,20,20,19,15,3,19
13,13,9,14,15,14,13,9,13,13
9,13,14,15,14,15,14,14,14,10
19,13,19,16,16,25,16,-1,20,20
13,10,14,4,13,13,14,14,15,14
25,26,27,25,25,21,19,25,25,32
13,14,7,14,13,8,13,13,16,13
19,20,19,10,19,20,16,21,21,20
19,19,19,16,15,13,19,16,20,15
13,15,13,14,15,14,14,14,13,13
7,9,8,9,10,8,8,2,10,13
19,20,19,19,9,13,16,19,14,14
13,8,14,14,15,13,8,13,14,13
27,28,31,32,31,27,32,26,28,27
13,13,10,14,10,9,8,13,13,13
-1,20,19,19,19,21,19,20,7,13
25,19,13,20,10,19,19,20,19,20
14,25,25,27,26,31,32,26,27,25
20,10,20,20,15,19,13,19,19,20
10,7,9,10,10,13,7,14,4,10
21,19,20,21,20,19,26,20,27,20
14,14,16,20,7,15,21,8,15,26
7,20,19,20,19,20,10,25,20,22
14,15,14,15,10,19,14,15,13,15
25,26,25,20,21,20,19,22,7,16
14,10,16,19,19,9,14,19,13,13
15,21,19,16,13,21,16,31,20,19
15,13,16,13,19,9,19,15,15,15
15,13,4,19,16,9,19,14,9,15
9,4,13,9,13,9,8,13,13,13
9,8,13,13,13,15,13,13,14,14
31,27,26,20,31,19,31,22,25,21
19,25,28,28,8,27,25,19,25,26
13,13,10,10,14,16,14,15,4,19
13,26,26,21,25,26,27,14,25,19
20,21,19,19,19,19,16,21,19,21
10,19,15,15,19,4,15,21,21,20
21,20,14,21,21,22,21,21,21,25
10,8,19,19,19,19,19,10,20,21
13,14,14,14,14,13,13,15,14,16
13,19,13,19,16,19,19,19,20,15
32,32,32,32,33,32,32,21,32,32
9,14,7,13,13,13,13,4,8,9
13,13,10,8,19,10,13,15,13,4
26,20,20,10,25,19,13,26,20,22
13,13,13,13,13,13,14,4,15,14
14,14,13,7,14,15,3,13,15,13
3,19,19,21,19,19,19,15,20,19
14,2,14,14,15,14,10,14,14,15
8,10,15,7,8,15,10,14,9,7
26,22,25,31,20,13,25,26,25,26
19,10,15,16,20,16,4,19,19,19
14,13,13,9,14,9,9,15,14,14
15,10,14,13,16,15,13,14,15,15
7,8,7,8,7,9,9,7,10,9
10,19,15,20,19,19,19,19,15,19
13,13,15,10,13,9,9,13,13,13
28,31,22,28,20,31,27,19,15,27
10,10,9,7,16,16,21,21,25,25
19,13,19,19,9,19,20,19,20,4
10,14,15,15,15,10,10,14,14,16
25,25,25,25,28,19,27,20,22,26
19,15,19,20,19,20,13,16,16,21
21,22,20,20,10,21,13,16,20,13
20,20,20,21,10,21,9,21,19,20
13,8,13,13,4,13,10,15,14,10
16,19,20,10,10,15,20,19,9,16
13,15,20,21,19,14,19,19,10,16
9,14,8,9,9,4,3,13,8,8
19,10,15,13,19,16,7,20,-1,-1
20,16,15,20,19,14,25,19,16,20
16,13,13,9,9,13,10,15,3,14
7,10,8,9,13,-1,13,9,13,8
16,13,20,4,15,16,19,19,19,20
9,9,7,13,4,10,9,7,14,14
19,19,16,9,16,19,19,15,10,15
16,16,16,7,21,22,20,15,19,20
15,15,15,14,14,13,4,7,13,16
21,16,20,19,15,16,15,19,19,19
25,25,13,25,22,19,31,13,7,25
19,19,19,19,9,22,19,20,20,14
7,10,13,14,13,13,14,14,14,13
14,10,13,9,8,10,13,14,14,8
19,20,19,10,19,16,16,20,15,19
14,9,13,16,14,14,21,13,15,13
19,20,20,7,20,13,20,16,20,10
16,16,14,15,19,19,9,19,15,14
16,13,8,15,14,19,20,14,13,14
13,8,13,4,13,10,15,14,14,15
19,21,20,14,19,13,16,20,15,14
19,19,19,15,19,19,16,10,19,13
1,9,10,9,10,8,13,2,13,8
13,14,9,9,3,13,13,10,8,13
8,16,14,9,14,15,14,13,16,16
20,21,25,20,22,25,21,19,21,25
9,25,32,27,22,25,27,25,25,22
10,16,14,14,15,14,14,13,16,9
9,10,13,14,8,10,4,13,10,8
8,9,13,13,10,13,19,14,10,13
9,9,8,10,7,14,8,14,7,9
25,7,8,25,25,22,28,25,25,26
16,16,15,10,14,19,19,19,19,20
14,9,10,8,14,10,13,9,15,10
15,19,19,20,9,19,15,14,20,8
10,16,9,21,13,20,16,22,20,27
10,15,15,19,15,16,14,-1,14,13
10,14,2,1,9,8,3,13,7,13
25,25,19,22,21,27,25,25,16,22
31,31,31,31,27,31,19,27,26,27
4,14,19,15,15,16,10,15,19,19
21,20,21,20,13,20,9,19,13,19
22,21,13,19,19,21,25,25,22,21
13,14,9,9,8,8,8,8,9,9
19,15,21,20,20,19,19,19,21,19
19,10,14,14,14,14,13,14,13,10
7,8,9,8,3,1,8,8,13,3
16,19,15,16,14,14,13,21,16,16
21,21,19,14,16,19,15,10,19,20
26,25,21,19,22,19,25,21,19,22
16,15,15,14,19,19,16,19,25,20
19,19,20,16,22,19,20,19,19,20
10,21,19,15,19,20,19,13,20,19
15,19,19,8,20,21,16,25,20,21
14,13,14,13,13,7,9,14,13,15
8,13,9,9,16,7,14,8,13,9
26,27,31,31,31,26,28,31,22,28
13,10,13,13,7,7,8,10,13,10
14,15,14,14,20,13,13,14,15,16
13,16,14,13,15,9,9,13,20,20
19,19,14,19,15,14,19,20,20,19
13,14,14,9,4,14,15,16,10,10
2,9,7,9,10,9,10,7,9,8
19,15,16,16,13,19,20,19,15,19
8,9,7,4,9,8,7,9,8,4
16,16,7,9,16,16,16,10,19,20
15,9,16,15,19,19,16,19,19,7
31,19,25,21,25,25,25,16,22,25
10,16,13,14,10,13,13,14,14,16
3,8,7,9,9,7,9,7,9,9
14,15,14,16,16,19,16,16,13,-1
28,32,31,22,9,26,31,16,32,26
2,13,13,9,8,3,9,14,14,14
14,7,8,9,4,10,10,13,8,9
25,13,16,19,21,20,22,20,21,20
13,10,13,10,19,16,13,10,13,10
16,16,16,15,14,10,14,21,19,20
16,7,7,14,9,13,15,15,14,13
19,27,27,26,27,31,31,28,31,28
7,2,7,1,9,9,7,10,10,8
25,21,20,20,20,25,25,16,21,21
14,19,9,9,14,15,16,16,13,10
25,13,10,15,13,19,13,19,21,10
14,14,15,15,13,15,13,14,13,15
9,13,16,3,16,14,15,14,14,14
19,3,9,9,7,8,8,4,13,13
20,19,7,20,20,21,19,16,10,16
21,20,9,19,19,9,19,21,21,7
19,15,13,13,13,14,13,14,15,14
20,15,22,15,21,21,21,19,14,19
9,9,10,8,13,9,10,14,9,13
21,21,10,25,15,20,10,22,20,20
9,13,3,10,14,9,10,16,14,15
31,26,26,21,27,27,13,10,27,25
9,20,9,9,15,7,20,16,15,15
14,13,14,15,14,-1,15,14,13,13
19,19,16,14,20,20,20,19,19,13
19,13,7,19,15,19,16,21,16,16
26,25,26,13,25,25,19,22,25,22
27,25,19,25,26,25,19,25,13,10
19,19,20,20,15,21,10,20,19,19
19,14,16,19,19,19,21,9,19,16
19,16,7,20,13,19,15,14,10,16
20,14,13,10,10,16,16,19,19,19
19,20,14,19,20,10,19,9,7,7
8,8,8,13,7,1,10,10,9,10
14,15,16,13,15,14,10,9,13,13
21,21,21,13,21,20,16,25,25,25
14,19,14,19,13,9,13,16,14,14
31,31,31,21,25,32,32,14,32,31
26,31,27,19,28,27,31,25,25,25
16,14,9,13,14,16,15,16,15,13
10,9,13,14,10,13,14,9,15,15
19,25,19,20,21,10,19,25,21,19
20,16,19,22,20,25,25,21,21,21
10,14,10,16,13,14,15,13,19,15
8,10,13,-1,13,15,19,14,16,14
14,16,16,14,13,7,15,16,16,15
9,15,13,14,13,3,9,14,13,15
26,21,21,21,25,20,21,20,10,21
21,13,13,25,19,26,22,13,19,27
15,13,14,-1,9,19,7,16,15,14
14,3,15,9,10,14,9,8,13,15
14,13,14,13,15,13,7,10,15,7
13,21,19,10,19,19,4,9,19,20
15,10,14,15,14,15,13,15,10,15
13,14,4,15,9,13,15,15,14,10
13,13,7,15,13,13,13,13,13,14
13,20,15,15,19,19,10,19,19,19
21,10,10,19,19,21,19,19,19,9
15,9,13,21,19,-1,-1,13,21,19
3,9,8,13,8,7,8,7,7,9
26,16,14,21,22,7,7,26,15,20
16,15,16,14,14,14,19,13,14,14
14,25,10,10,26,4,25,27,22,25
27,19,31,16,33,26,32,32,32,31
20,20,19,19,19,19,19,19,14,20
14,16,8,13,9,9,14,15,19,16
26,26,19,13,27,26,26,25,26,13
