player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,team1Win
Sona,Jax,Senna,Lulu,Vi,Zac,Gnar,Thresh,Lucian,Annie,0
Soraka,Jhin,Teemo,Qiyana,Zac,Jax,Nautilus,Nasus,Fizz,Yone,0
Yasuo,Morgana,Zac,Yone,Katarina,Kai'sa,Vel'Koz,Amumu,Ryze,Lillia,1
Zyra,Shyvana,Urgot,Lucian,Orianna,Olaf,Azir,Yasuo,Volibear,Lux,1
Yone,Renekton,Jhin,Swain,Udyr,Shen,Warwick,Senna,Ekko,Ezreal,0
Yone,Wukong,Lux,Lucian,Shyvana,Veigar,Malphite,Olaf,Aphelios,Thresh,1
Riven,Jinx,Blitzcrank,TwistedFate,Graves,Cassiopeia,Pyke,Renekton,Caitlyn,Olaf,0
Yone,Cassiopeia,Mordekaiser,Morgana,Graves,Yasuo,Sona,Veigar,Ezreal,Volibear,0
Ekko,Volibear,Blitzcrank,Ashe,Zilean,Kindred,Tryndamere,Caitlyn,Zed,Yuumi,0
Ahri,Mordekaiser,Caitlyn,Shaco,JarvanIV,Teemo,Yuumi,Kindred,Jinx,Veigar,1
XinZhao,Pantheon,Lux,MissFortune,Shen,Ezreal,Shaco,Ahri,Nautilus,Akali,0
Kindred,Nasus,Veigar,Tristana,Sona,Ekko,Zoe,Thresh,Caitlyn,Yone,0
Morgana,Yasuo,Ezreal,Maokai,Kindred,Caitlyn,Ekko,Senna,Camille,Sejuani,0
Caitlyn,Lulu,Garen,Yone,Lillia,Draven,LeBlanc,Gragas,Yasuo,Vi,0
Neeko,Leona,Rengar,Udyr,Lucian,Kha'Zix,Senna,Nasus,Twitch,Ahri,1
Nidalee,Cassiopeia,Jhin,Janna,Darius,Sion,Kai'sa,Malphite,Morgana,Pyke,0
Yasuo,Senna,Zed,Hecarim,Orianna,Malzahar,Caitlyn,Garen,Soraka,Kindred,0
Kai'sa,Morgana,Volibear,Diana,Darius,Sett,Lux,XinZhao,Ezreal,Veigar,1
Tryndamere,Zoe,Sona,Pyke,Jinx,Camille,Caitlyn,Thresh,Katarina,Nocturne,1
Evelynn,Camille,Blitzcrank,Corki,Senna,Nami,Jax,Lucian,Yone,Amumu,0
Nunu,Morgana,Ahri,Camille,Caitlyn,Ashe,Hecarim,Talon,Lux,Renekton,0
Darius,Draven,Vel'Koz,Rengar,Lux,Zed,Gangplank,Leona,Fiddlesticks,Ezreal,0
Yasuo,Ahri,Caitlyn,Nautilus,Warwick,Ekko,Yone,Pyke,Yuumi,Sivir,1
Soraka,Sion,Nocturne,Jinx,Gragas,Volibear,Yuumi,Ezreal,Zoe,Fiora,1
Ashe,Illaoi,Galio,Warwick,Leona,Talon,Nocturne,Shen,Lucian,Swain,0
Jax,Hecarim,Ezreal,Cassiopeia,Blitzcrank,Morgana,Lucian,Yone,Kindred,Riven,1
Kha'Zix,Sona,Quinn,Caitlyn,Diana,Warwick,Galio,Jax,Ezreal,Thresh,0
Olaf,Veigar,Amumu,Anivia,Illaoi,Brand,Kai'sa,Garen,Vi,Yone,0
Graves,Nami,Caitlyn,Fiora,Galio,Diana,Senna,Ekko,MissFortune,Rek'Sai,0
Kayle,Thresh,Jhin,Master Yi,Karma,Yone,XinZhao,Volibear,Soraka,Jinx,1
Varus,Vi,Darius,Caitlyn,Xerath,Vayne,Vel'Koz,Shen,Pyke,Aatrox,1
Orianna,Leona,Aphelios,Maokai,Mordekaiser,Lux,Ashe,Syndra,Wukong,Sett,0
Yone,Jinx,Graves,TahmKench,Vel'Koz,Jhin,Soraka,Neeko,Master Yi,Kayle,0
Sett,Jinx,Lux,Janna,Vi,Graves,Tristana,Brand,Yone,Vladimir,1
Darius,Lulu,TwistedFate,Sett,Caitlyn,Kindred,Ahri,Ziggs,Pyke,Fiora,1
Gangplank,Morgana,Vayne,Teemo,Sylas,Yuumi,Kennen,Diana,Ashe,Nunu,0
Fizz,Garen,Lucian,Fiddlesticks,Cho'Gath,Senna,Ekko,Sett,Jhin,Swain,0
Yasuo,Kayn,Ziggs,Galio,Fiddlesticks,Yone,Yorick,Sona,Malphite,Vayne,1
Lulu,Shaco,Ekko,Ashe,Shen,Garen,Morgana,Yasuo,Malphite,LeeSin,1
Senna,Yuumi,Vayne,Nunu,Trundle,LeeSin,LeBlanc,Nasus,Riven,Lulu,1
Lux,Vi,Brand,Darius,Tristana,Nocturne,Leona,Jinx,Teemo,Ahri,0
Yone,Ahri,Nami,Vayne,Nasus,Renekton,Ezreal,Zyra,Brand,XinZhao,0
Ezreal,Soraka,Graves,Annie,Malphite,Thresh,Kayn,Vi,Garen,Karthus,1
Yasuo,Zed,Sona,Hecarim,Jinx,Swain,Alistar,Akali,Sett,Ashe,1
Teemo,Yuumi,Caitlyn,Xerath,Sett,Brand,Ziggs,Kalista,XinZhao,Tryndamere,0
Quinn,Malzahar,Ezreal,Nunu,Kayle,Lulu,Jinx,Garen,Diana,Master Yi,0
Zyra,JarvanIV,Tryndamere,Tristana,Lux,Nautilus,Ashe,Cassiopeia,Yone,Kayn,1
Sona,Wukong,Ashe,Kassadin,Ivern,Shen,Karma,Leona,XinZhao,Vayne,0
Diana,Quinn,Annie,Blitzcrank,Ashe,Sett,Kassadin,Zed,Sona,Caitlyn,1
Hecarim,Zoe,Lulu,TahmKench,Caitlyn,Dr.Mundo,Blitzcrank,Ekko,Lucian,Yone,0
Yone,Morgana,Rammus,Ornn,Caitlyn,Warwick,Irelia,Galio,Jinx,Xerath,0
Ornn,AurelionSol,Warwick,Jinx,Sona,XinZhao,Yasuo,Mordekaiser,Caitlyn,Nautilus,1
Olaf,Lucian,Morgana,Pantheon,Karthus,Orianna,Soraka,Udyr,Ezreal,Aatrox,0
Lulu,Malzahar,Riven,Vayne,Volibear,Bard,Nunu,Yasuo,Ashe,Irelia,0
Ashe,Senna,Nasus,Morgana,Gragas,Jhin,Blitzcrank,Yasuo,Lillia,Hecarim,0
Nocturne,Gragas,Pyke,Irelia,Jhin,MissFortune,Sett,Morgana,Rakan,Vel'Koz,0
XinZhao,Lux,Zed,Tristana,Ahri,Sona,Swain,Pyke,Nocturne,Caitlyn,0
Ahri,Galio,Gangplank,Amumu,Vayne,Katarina,Zyra,Nasus,Kai'sa,Nunu,0
Volibear,Swain,Zyra,Jinx,Yone,Tristana,Cho'Gath,Caitlyn,Nunu,Senna,0
Caitlyn,Leona,Irelia,Morgana,Tryndamere,Lucian,Taric,Singed,Ahri,Sett,0
Malphite,Annie,Fiddlesticks,Yone,Vayne,Jinx,Yasuo,Bard,Evelynn,Pyke,1
Galio,Rengar,Soraka,Ezreal,Darius,Senna,Shen,Rammus,Diana,Caitlyn,1
Lillia,Rumble,Hecarim,Leona,Jinx,Thresh,Ivern,Ashe,Orianna,Vayne,1
Katarina,Senna,Ezreal,Hecarim,Vayne,Yone,Jinx,Rammus,Sylas,Swain,1
Nocturne,Darius,Nami,Ahri,Ezreal,Fiddlesticks,Thresh,Volibear,Orianna,Caitlyn,1
Tristana,Fizz,Karma,Sett,Jax,Zoe,Ezreal,Rammus,Senna,Singed,0
LeBlanc,Vayne,Malphite,Kha'Zix,Ashe,Nautilus,Lucian,Akali,MissFortune,Tryndamere,0
Caitlyn,Sona,Lillia,LeBlanc,Kayn,Orianna,Jax,Lulu,Ekko,Ashe,0
Maokai,Jax,Riven,Ziggs,Lucian,Zed,Wukong,Nami,Vayne,Kayn,0
Olaf,Garen,Ezreal,Neeko,Talon,Vel'Koz,Kog'Maw,Vi,Wukong,Morgana,1
Sett,Azir,Draven,Blitzcrank,Volibear,Fiora,Sona,TwistedFate,Sivir,Graves,0
Sona,Warwick,Kassadin,Ashe,Malphite,Caitlyn,Graves,Yasuo,Viktor,Nami,1
Twitch,Cassiopeia,Blitzcrank,Darius,Kindred,Rek'Sai,Camille,Pyke,Kled,Kog'Maw,1
Vayne,Hecarim,Lux,Kled,Orianna,Rammus,Nautilus,Ezreal,Kayle,Tryndamere,0
Ashe,Volibear,Garen,Pyke,Syndra,Lulu,Ornn,Zed,Ezreal,Nunu,0
Yone,Zac,Renekton,Lulu,Caitlyn,Lux,Ashe,Kled,Volibear,Zyra,1
Kennen,Vel'Koz,Kayn,Veigar,Vayne,Caitlyn,Yone,Morgana,Garen,XinZhao,1
Renekton,Janna,Lucian,Qiyana,Lillia,Fizz,Blitzcrank,Nunu,Illaoi,Caitlyn,0
Master Yi,Teemo,Nautilus,Diana,Kai'sa,Taric,Twitch,Nasus,Yasuo,Udyr,0
Master Yi,Nami,Ashe,Darius,Annie,Kog'Maw,Sona,Rammus,Caitlyn,Vayne,1
Nautilus,Ornn,Lux,Lucian,Graves,Ezreal,Kayn,Ryze,Riven,Nami,1
Urgot,Morgana,Zac,Twitch,Lulu,Ekko,Swain,Draven,Nasus,Xerath,1
Yone,Yasuo,Yuumi,Nocturne,Gangplank,Kindred,Jhin,Morgana,Tryndamere,Talon,0
Akali,Shen,Yuumi,Olaf,Ezreal,Darius,Vayne,Viktor,Kindred,Senna,0
Tristana,Garen,Azir,Lulu,Nocturne,Swain,Darius,Master Yi,Akali,Caitlyn,1
Shen,Lucian,Vel'Koz,Zoe,Morgana,Kai'sa,Garen,Lux,Vi,Xerath,0
Lux,Vayne,Vi,Darius,Zed,Ezreal,Ashe,Fiora,Pantheon,Rakan,1
Kennen,Caitlyn,Rakan,Olaf,Neeko,Sion,Ahri,Graves,Lux,Ezreal,0
Fiddlesticks,Darius,Syndra,Kha'Zix,Draven,Sett,Ekko,Nami,Ezreal,Rengar,0
Quinn,Tristana,Ziggs,Volibear,Zilean,Twitch,Ahri,Teemo,Cassiopeia,Singed,0
Nocturne,Ezreal,Corki,Sylas,Alistar,Sett,Zac,Yasuo,Caitlyn,Swain,0
Diana,Volibear,Leona,Udyr,Jhin,Maokai,Caitlyn,Nami,Kayn,Lissandra,1
Teemo,Rek'Sai,Blitzcrank,Kai'sa,Kindred,Yone,Lux,Caitlyn,Yasuo,Nasus,1
Bard,Lux,Caitlyn,Kindred,Maokai,Katarina,Ahri,Malzahar,Shaco,Yone,1
Caitlyn,Malphite,Shaco,Aatrox,Zyra,Orianna,Zac,Garen,Jinx,Sona,0
Vel'Koz,Jinx,Yone,Renekton,Leona,Diana,Kha'Zix,Ornn,Caitlyn,Morgana,0
Ziggs,Shen,Karma,Ezreal,Twitch,Vi,Fiora,Xerath,Galio,Caitlyn,0
Alistar,Fiora,Tristana,Nunu,Galio,Camille,Ziggs,Brand,Ezreal,Ekko,0
Morgana,Galio,Kayle,Ekko,Tristana,Vi,Rakan,Ahri,Jinx,Shen,1
Aphelios,Zyra,Tryndamere,Swain,Shaco,Ezreal,Senna,Darius,Shyvana,Lux,1
Vayne,Yone,Zed,Senna,Nunu,Ezreal,Kayn,Diana,Lillia,Nautilus,0
Nunu,Vladimir,Zed,Ashe,Yuumi,Lulu,Hecarim,Lissandra,Kai'sa,Riven,0
Kindred,Yone,Morgana,Caitlyn,Ahri,Lucian,Talon,Rakan,Mordekaiser,Vi,0
Caitlyn,Akali,Irelia,Swain,Warwick,Ziggs,Amumu,Mordekaiser,Tristana,Morgana,1
Zed,Vi,Senna,Vayne,Shen,Sejuani,Nasus,Caitlyn,Nautilus,Zoe,0
Warwick,Lillia,Nami,Jhin,Jax,Draven,Lux,Nasus,Nunu,Garen,0
Rammus,Jax,Zilean,Ashe,Yone,Blitzcrank,Hecarim,Tristana,Katarina,Maokai,0
Lux,Ashe,Sejuani,Sett,Fizz,Olaf,Yone,Kayn,Zilean,MissFortune,0
Jinx,Lux,Evelynn,Nocturne,Yone,Kassadin,Soraka,Caitlyn,Shyvana,Maokai,1
Lux,Ekko,Nami,Lucian,Sett,Ahri,Vayne,Teemo,Rakan,Lillia,1
Jinx,Yasuo,Nasus,Shyvana,Sona,Fiddlesticks,Yone,Nautilus,Jhin,Malphite,0
Nasus,Jhin,Janna,Elise,Yone,LeeSin,Soraka,Malzahar,Twitch,Leona,0
Amumu,Lulu,Ashe,Malzahar,Zed,Sett,Xerath,Caitlyn,Lillia,Yone,0
Camille,Shaco,Zilean,Swain,Twitch,Nidalee,Fizz,Ezreal,Riven,Janna,1
Ashe,Thresh,Shyvana,Renekton,Zed,Caitlyn,Rammus,Vladimir,Camille,Sett,0
Ekko,Pyke,Ziggs,Jhin,Riven,Kha'Zix,Fizz,MissFortune,Yasuo,Jax,1
Pyke,Karthus,Evelynn,Rumble,Tryndamere,Kog'Maw,Nasus,Quinn,Blitzcrank,Gragas,0
Katarina,Kayn,Nasus,Pyke,Jhin,Volibear,Draven,Rakan,Malzahar,Fiora,1
Volibear,Akali,Jinx,Sion,Lux,Lillia,Jhin,Thresh,Sett,Yone,1
Quinn,LeeSin,Ezreal,Brand,Sett,Urgot,Kog'Maw,Lulu,Nidalee,Lucian,1
Senna,Jhin,Garen,Ryze,Dr.Mundo,Fiddlesticks,Zed,Olaf,Jinx,Nautilus,0
Ahri,Warwick,Sett,Aphelios,Nami,Hecarim,Sona,Mordekaiser,Zoe,Tristana,1
Kai'sa,Ekko,Blitzcrank,Volibear,Garen,Master Yi,Riven,MissFortune,Brand,Annie,1
Veigar,Yorick,Senna,Caitlyn,Nocturne,Jhin,Tryndamere,Vi,Fiora,Brand,1
Urgot,Nunu,Cho'Gath,Caitlyn,Thresh,Darius,Sivir,Vi,Ahri,Zyra,0
Diana,Nocturne,Urgot,Caitlyn,Swain,Master Yi,Blitzcrank,Yorick,AurelionSol,Ezreal,1
Blitzcrank,Twitch,Shen,Vladimir,Hecarim,Sona,Garen,Irelia,Ezreal,Ekko,1
Draven,Blitzcrank,TwistedFate,Graves,Yorick,Vayne,Volibear,Senna,LeBlanc,Caitlyn,1
Tryndamere,Rumble,Morgana,Caitlyn,Ekko,Pantheon,Brand,Zac,Zed,Jhin,1
Shyvana,Teemo,Ryze,Brand,Twitch,Quinn,Shaco,Ekko,Caitlyn,Yone,1
Sett,Thresh,Lux,Kog'Maw,Warwick,Shen,Yone,Jhin,Swain,Yasuo,1
Veigar,MissFortune,Morgana,Darius,LeeSin,Taliyah,Pantheon,Hecarim,Diana,Renekton,0
Thresh,Kai'sa,Jayce,Jax,Lux,Ahri,Sona,Ezreal,Hecarim,Kha'Zix,0
Azir,Darius,Fiddlesticks,Ashe,Leona,Ekko,Sett,Vayne,Yone,Blitzcrank,1
Malzahar,Veigar,Amumu,TahmKench,Caitlyn,MissFortune,Shen,Heimerdinger,Xerath,Darius,1
Ashe,Singed,Kog'Maw,Warwick,Sona,Garen,TwistedFate,Lillia,MissFortune,Brand,1
Pyke,Yone,Sett,Kayn,Xerath,Lillia,Ziggs,Xayah,Garen,Yasuo,1
Azir,Lillia,Vladimir,Cassiopeia,Sona,Tristana,Nunu,Lulu,Pyke,Zed,0
Renekton,Rakan,Galio,Lillia,Ezreal,Kled,Kai'sa,Karthus,Pantheon,Lucian,0
Morgana,Twitch,Ahri,Teemo,Zac,Volibear,Soraka,Galio,Tristana,Malphite,0
Malzahar,Wukong,Neeko,Ashe,Leona,Zed,Kai'sa,Morgana,Xerath,Amumu,0
Orianna,Ashe,Senna,Darius,Hecarim,Ezreal,Master Yi,Ekko,Yuumi,Vladimir,0
Kassadin,Ezreal,Morgana,Graves,Urgot,Evelynn,Nasus,Yasuo,Janna,Kog'Maw,0
Galio,Lux,TahmKench,Riven,Tristana,Graves,Caitlyn,Nami,Zed,Nasus,1
Ornn,Thresh,Syndra,Jhin,Sion,Udyr,Lux,Volibear,Ashe,Zoe,0
Tryndamere,Nidalee,Senna,Ashe,Mordekaiser,Zed,Skarner,Soraka,Twitch,Teemo,1
Diana,Jax,Caitlyn,Shaco,Thresh,Yone,Kayn,Lulu,Swain,Garen,0
Kai'sa,Soraka,Kayle,Yone,Kha'Zix,LeBlanc,Ashe,Quinn,Zac,Lulu,0
Garen,Syndra,Caitlyn,Karma,Sett,Yasuo,Evelynn,Kayle,Vayne,Swain,0
Fiddlesticks,Vel'Koz,Lucian,Lulu,Camille,Cho'Gath,Anivia,Jhin,Kha'Zix,Karma,1
Jinx,Nocturne,Rengar,Anivia,Lux,Thresh,Yone,Singed,Teemo,Caitlyn,0
Dr.Mundo,Tristana,JarvanIV,Jhin,Lux,Maokai,Nami,LeBlanc,Lucian,Nunu,1
Lucian,Fiddlesticks,Kayle,Morgana,Kassadin,Ahri,Kindred,Vel'Koz,Trundle,Xayah,0
Kha'Zix,Teemo,Ahri,Soraka,Xayah,Lucian,Gangplank,Zyra,Vi,Twitch,0
Vayne,Malphite,Yone,Morgana,Shyvana,Vel'Koz,Karthus,Sett,Shen,Ashe,0
Akali,Shen,Kha'Zix,Thresh,Tristana,Jinx,Karma,Yone,Katarina,Volibear,1
Master Yi,Mordekaiser,Ahri,Ezreal,Morgana,Kindred,Lulu,Garen,Volibear,Fizz,1
Yone,Shen,Malphite,Lillia,Ashe,Caitlyn,Yasuo,Kayn,Swain,Urgot,0
Ryze,Cassiopeia,Kayn,Karma,Twitch,Ashe,Nautilus,Kennen,Nunu,Kha'Zix,1
Jhin,Volibear,Janna,Graves,Ryze,Yasuo,Fiddlesticks,Kai'sa,Thresh,Sett,0
Jhin,Nami,Garen,Master Yi,Anivia,Galio,Akali,Darius,Nautilus,Caitlyn,1
Kassadin,Ashe,JarvanIV,Darius,Lux,Warwick,Caitlyn,Maokai,Master Yi,Fizz,1
Orianna,Malphite,Ezreal,Ekko,Vel'Koz,Shen,Singed,Veigar,Senna,Graves,1
MissFortune,Senna,Fiora,Nunu,Yone,Warwick,Caitlyn,Zyra,Ryze,Gangplank,1
Thresh,Lillia,Nocturne,Caitlyn,Ekko,Twitch,LeeSin,Pyke,Sylas,Ahri,0
Fiora,Yasuo,Amumu,Annie,Yuumi,Kog'Maw,Lulu,Yone,Zed,Illaoi,1
Shen,Katarina,Karma,Shaco,Jhin,Darius,Sona,Warwick,Aphelios,Viktor,0
Draven,Thresh,Cassiopeia,JarvanIV,Yasuo,Orianna,Warwick,Tryndamere,Jinx,Morgana,0
Bard,Talon,Mordekaiser,Caitlyn,Shaco,Riven,Xerath,Thresh,Yasuo,Kindred,1
Leona,Ashe,Sylas,Kha'Zix,Ahri,Elise,Kog'Maw,Jax,Cassiopeia,Alistar,1
Master Yi,Sylas,Xerath,Caitlyn,Darius,Volibear,Orianna,Teemo,Janna,Kindred,1
Master Yi,Malzahar,Ezreal,Garen,Shen,Graves,Heimerdinger,Jinx,Orianna,Morgana,0
Caitlyn,Nautilus,Garen,Vladimir,Kayn,Senna,Sett,Cassiopeia,Rengar,Singed,1
Warwick,Volibear,Draven,Kassadin,Zyra,Yone,Lucian,Tristana,Lux,Olaf,1
Nunu,Ezreal,Master Yi,Quinn,Rammus,Hecarim,Fiora,Caitlyn,Zed,Morgana,0
Sion,Ryze,Soraka,Jhin,Graves,Lulu,LeBlanc,Kayn,Yasuo,Aphelios,0
Annie,Hecarim,Gnar,Brand,Kai'sa,Jhin,Nasus,Jax,Galio,Fiddlesticks,1
Katarina,Kalista,Braum,Ekko,Kayle,Irelia,Varus,Tryndamere,Soraka,Hecarim,0
Senna,Pyke,Gragas,Nasus,Yone,Ashe,Kled,Cho'Gath,Morgana,Diana,1
Garen,Cassiopeia,Bard,Jhin,Kha'Zix,Lucian,Caitlyn,Morgana,Fizz,Rammus,1
Yasuo,Udyr,Kennen,Ezreal,Soraka,Brand,Shen,Lucian,Kassadin,Volibear,0
Teemo,Sona,Senna,Nocturne,Zac,Veigar,Darius,Hecarim,Lux,Jhin,0
Aatrox,Xerath,Kha'Zix,Ezreal,Swain,Zac,Caitlyn,Syndra,Renekton,Senna,1
Urgot,LeBlanc,Jhin,Poppy,Zyra,Yone,Yuumi,Lillia,Volibear,Sivir,0
Maokai,Fiora,Diana,Ziggs,Tristana,Leona,Nasus,Yone,Caitlyn,Zac,1
Graves,Garen,Ashe,Rakan,Lissandra,Ahri,Lulu,LeeSin,Jax,Ezreal,0
Hecarim,Cho'Gath,Galio,Yasuo,Nautilus,Teemo,Vayne,Lux,Graves,Akali,1
Shyvana,Senna,Lillia,Ashe,Cho'Gath,Jinx,Pyke,Yasuo,Kindred,TahmKench,0
Vi,Ekko,Xayah,Pyke,Gnar,Sona,Karthus,Yone,Lux,Ashe,1
Leona,MissFortune,Sett,Irelia,Ahri,Veigar,Lulu,Nasus,Volibear,Twitch,0
LeeSin,Jhin,Ziggs,Morgana,Sett,Kayn,Renekton,Xayah,Yasuo,Rakan,0
Annie,Darius,Lux,Caitlyn,Kayn,Morgana,Twitch,Akali,Yone,Warwick,1
MissFortune,LeeSin,Teemo,Yasuo,Malphite,Lux,Sett,Ashe,Blitzcrank,Renekton,1
Heimerdinger,Vayne,Yuumi,Sett,JarvanIV,Nasus,Pyke,Garen,Yone,MissFortune,1
Wukong,Fiora,Vayne,Ahri,Galio,Camille,Cho'Gath,Udyr,Aphelios,Blitzcrank,0
Yorick,Akali,Kha'Zix,Lucian,Lillia,Maokai,Volibear,Zilean,Ashe,Mordekaiser,0
Master Yi,Ryze,Nautilus,Teemo,Yasuo,Gnar,Lucian,Kindred,Lulu,Nocturne,1
LeBlanc,Volibear,Warwick,MissFortune,Pyke,Heimerdinger,Ekko,Nasus,Brand,Lucian,0
Ezreal,Kassadin,Lux,Garen,Volibear,Udyr,Tristana,Ahri,Illaoi,Swain,0
Ahri,Riven,Caitlyn,Yuumi,Rammus,Nami,Vel'Koz,Darius,Nocturne,Draven,0
Akali,Camille,Zilean,Hecarim,Vayne,Darius,Nunu,Lulu,Mordekaiser,Lucian,0
Warwick,Thresh,Kog'Maw,Volibear,Singed,Caitlyn,Leona,Nasus,Malphite,Zyra,0
Tristana,LeeSin,Teemo,Vel'Koz,TahmKench,Sett,Pyke,Orianna,Ezreal,Ornn,1
Akali,Teemo,Caitlyn,Sona,Warwick,Annie,Hecarim,Lulu,Varus,Kayle,1
Malphite,Amumu,Fiora,Swain,Ezreal,Lux,Yone,Nunu,Gangplank,Yasuo,1
Brand,Shyvana,Ziggs,MissFortune,Sett,Gnar,Yuumi,Ezreal,Katarina,Hecarim,0
Varus,Malphite,MissFortune,Talon,Wukong,Vi,Zoe,Jinx,Tryndamere,Nautilus,1
Veigar,Vel'Koz,Yorick,Kindred,Jhin,Master Yi,Garen,Tristana,Leona,Zoe,0
Sylas,Lux,Kai'sa,Urgot,Vi,Karma,Talon,Caitlyn,Olaf,Sett,0
Cassiopeia,Lillia,Wukong,Yasuo,Xerath,Malphite,Zed,Fiddlesticks,Swain,Caitlyn,0
Cassiopeia,Ekko,Kled,MissFortune,Alistar,Yone,Teemo,Ahri,Brand,Jhin,0
Yasuo,Kayn,Sett,Alistar,Heimerdinger,Darius,Annie,Lulu,Kai'sa,Graves,0
Malphite,Kai'sa,Yasuo,JarvanIV,Morgana,Camille,Zed,Rammus,Vel'Koz,Jinx,1
Yasuo,Tryndamere,Caitlyn,Annie,Ekko,Jax,Rengar,Jinx,Brand,Morgana,0
Draven,Kayn,Akali,Nautilus,Mordekaiser,Poppy,Thresh,Teemo,Ahri,Caitlyn,0
Graves,Garen,Kai'sa,Irelia,Thresh,Senna,Ezreal,Fiora,Amumu,Ahri,0
Zilean,Caitlyn,Irelia,Jax,Mordekaiser,Veigar,Sett,Renekton,Maokai,Xayah,0
Kha'Zix,Ezreal,Kayle,Teemo,Braum,MissFortune,Yone,Lux,Swain,Lillia,0
Lux,Poppy,Caitlyn,Evelynn,Galio,Renekton,Nami,Skarner,Ziggs,Yone,0
Jayce,Nunu,Xayah,Ahri,Lux,Xerath,Mordekaiser,Nami,Sivir,Zac,0
Olaf,Illaoi,Lucian,Brand,Annie,Lux,Ezreal,Yuumi,Fizz,Yorick,1
Lillia,Nasus,Caitlyn,Ryze,Blitzcrank,Jhin,Singed,Xerath,Volibear,Zoe,1
Lux,Kai'sa,Malphite,Yone,LeeSin,Ahri,Ezreal,Lulu,Kha'Zix,Gangplank,1
Hecarim,Malzahar,Lucian,Swain,Lulu,Ashe,Sona,Ryze,Kayn,Illaoi,1
Senna,Fizz,Shen,Graves,Caitlyn,Karma,Yone,Ashe,Shyvana,Lux,1
Taric,Ornn,Fiora,Veigar,Caitlyn,Aatrox,Lillia,Orianna,Soraka,Draven,1
Soraka,Caitlyn,LeBlanc,JarvanIV,Irelia,Amumu,Morgana,Yone,Kai'sa,Garen,0
Senna,Akali,Fizz,Ashe,Warwick,Ezreal,Nasus,Soraka,Rek'Sai,Vel'Koz,0
Yuumi,Ezreal,Garen,Viktor,Riven,Bard,Wukong,Shaco,Sivir,Lillia,1
Jhin,Ryze,Shaco,Urgot,Ziggs,Jax,Thresh,Ashe,Vi,Yone,1
Caitlyn,Soraka,Fiddlesticks,Jax,Yasuo,Sona,Yone,Master Yi,Ashe,Riven,1
XinZhao,Graves,Sylas,Heimerdinger,Vayne,Kha'Zix,Aphelios,Morgana,Riven,Irelia,1
Rengar,Brand,Warwick,Caitlyn,Nautilus,Swain,Jinx,Shen,Ahri,Singed,0
Ashe,Vladimir,Camille,Nami,Master Yi,Ezreal,Tristana,Nasus,Neeko,Shyvana,0
Caitlyn,Irelia,Blitzcrank,Master Yi,Brand,Shaco,Tristana,Ekko,Morgana,Cho'Gath,0
Bard,Aphelios,Urgot,Master Yi,Orianna,Vi,Twitch,Gnar,TahmKench,Swain,0
Vi,Teemo,Katarina,Ashe,Lux,Camille,Skarner,Ziggs,Ezreal,Alistar,0
Tryndamere,Katarina,Olaf,Vayne,Taliyah,Nocturne,Renekton,Lillia,Brand,Kai'sa,0
Teemo,Lux,Tristana,Yasuo,Rammus,Olaf,Galio,Kai'sa,Rumble,Blitzcrank,1
MissFortune,LeeSin,Jax,Soraka,Yasuo,Draven,Yuumi,Zed,Singed,Ekko,0
Karma,Jhin,Warwick,Vladimir,Kennen,Ivern,Renekton,Morgana,Jinx,Katarina,0
Ezreal,Soraka,Mordekaiser,Diana,Warwick,Wukong,Rammus,Yone,Swain,Ashe,0
Akali,Thresh,Draven,Sylas,Pantheon,Shyvana,Darius,Yasuo,Senna,Caitlyn,0
Renekton,Kayle,Jinx,Elise,Lux,Caitlyn,Rumble,Blitzcrank,Volibear,Camille,1
Nidalee,Hecarim,Thresh,Kai'sa,Zed,Lucian,Malzahar,Nasus,Alistar,Vi,0
Soraka,Caitlyn,Akali,Riven,XinZhao,Gangplank,Warwick,Yasuo,Lux,Yone,1
Rumble,Warwick,Senna,Nautilus,JarvanIV,Talon,Vel'Koz,Nocturne,Sett,Kled,1
Jax,Kindred,Vel'Koz,Lulu,Ezreal,Morgana,Twitch,Graves,Darius,Ziggs,1
Veigar,Darius,MissFortune,Yone,LeeSin,Renekton,Tristana,Pyke,Olaf,Syndra,0
Caitlyn,Akali,Kha'Zix,Jax,Soraka,Vayne,Ezreal,Ahri,Lux,Volibear,0
Ekko,Sett,Twitch,Lux,Garen,Volibear,Zac,Caitlyn,Shyvana,Blitzcrank,0
Urgot,Veigar,Ezreal,Taric,Evelynn,Zed,Morgana,Shaco,Jinx,Amumu,1
Pyke,Ashe,JarvanIV,Yasuo,Lillia,Volibear,Sona,Nunu,Jhin,Katarina,0
LeeSin,Jinx,Yasuo,Alistar,Urgot,Yuumi,Senna,Riven,Amumu,Annie,1
Malphite,Fizz,Brand,Caitlyn,Illaoi,Yasuo,Ornn,Vayne,Teemo,Nunu,0
Kai'sa,Lillia,Soraka,Tryndamere,Yasuo,Caitlyn,Lulu,Yone,Nunu,Jax,1
Cho'Gath,Jax,Vayne,Nautilus,Warwick,Sett,Zac,Ezreal,Kassadin,Nami,1
Kayn,Sylas,Jhin,Thresh,Xerath,Shen,Senna,Lucian,Ahri,Olaf,0
Volibear,Yorick,Ekko,MissFortune,Lulu,Brand,Shen,Master Yi,Pyke,Yasuo,1
