p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
13.0,13.0,13.0,13.0,16.0,10.0,10.0,9.0,13.0,14.0
14.0,10.0,10.0,14.0,14.0,13.0,13.0,14.0,16.0,13.0
19.0,21.0,16.0,20.0,21.0,21.0,15.0,10.0,19.0,20.0
20.0,15.0,19.0,19.0,16.0,19.0,10.0,19.0,20.0,19.0
13.0,8.0,13.0,13.0,13.0,14.0,13.0,14.0,9.0,13.0
14.0,15.0,16.0,13.0,14.0,15.0,15.0,16.0,15.0,16.0
19.0,15.0,19.0,20.0,19.0,19.0,16.0,19.0,19.0,19.0
25.0,19.0,19.0,26.0,9.0,10.0,25.0,16.0,25.0,21.0
19.0,19.0,19.0,20.0,20.0,19.0,21.0,19.0,20.0,20.0
19.0,20.0,19.0,19.0,19.0,16.0,20.0,19.0,13.0,19.0
13.0,13.0,8.0,2.0,7.0,7.0,3.0,9.0,8.0,10.0
16.0,10.0,19.0,10.0,14.0,21.0,19.0,15.0,19.0,19.0
25.0,16.0,21.0,19.0,20.0,25.0,21.0,21.0,20.0,16.0
15.0,9.0,13.0,10.0,10.0,10.0,15.0,3.0,16.0,14.0
15.0,16.0,4.0,13.0,14.0,15.0,14.0,16.0,13.0,21.0
19.0,13.0,15.0,19.0,19.0,15.0,15.0,15.0,15.0,14.0
19.0,19.0,20.0,15.0,19.0,15.0,19.0,20.0,20.0,19.0
1.0,7.0,9.0,9.0,13.0,9.0,9.0,13.0,1.0,9.0
13.0,13.0,10.0,10.0,19.0,9.0,9.0,13.0,13.0,7.0
7.0,4.0,9.0,8.0,9.0,8.0,9.0,8.0,4.0,13.0
